chart_song_id,song_id,position
0VjIjW4GlUZAMYd2vXMi3b,R1B01,1
1rgnBhdG2JDFTbYkYRZAku,R1B02,2
0nbXyq5TXYPCO7pr3N8S4I,R1B03,3
2Wo6QQD1KMDWeFkkjLqwx5,R1B04,4
3PfIrDoz19wz7qK7tYeu62,R1B05,5
7ytR5pFWmSjzHJIeQkgog4,R1B06,6
6UelLqGlWMcVH1E5c4H7lY,R1B07,7
7eJMfftS33KTjuF7lTsMCx,R1B08,8
2rRJrJEo19S2J82BDsQ3F7,R1B09,9
7qEHsqek33rTcFNT9PFqLf,R1B10,10
7k4t7uLgtOxPwTpFmtJNTY,R1B11,11
696DnlkuDOXcMAnKlTgXXK,R1B12,12
21jGcNKet2qwijlDFuPiPb,R1B13,13
22LAwLoDA5b4AaGSkg6bKW,R1B14,14
4umIPjkehX1r7uhmGvXiSV,R1B15,15
466cKvZn1j45IpxDdYZqdA,R1B16,16
2gMXnyrvIjhVBUZwvLZDMP,R1B17,17
3Dv1eDb0MEgF93GpLXlucZ,R1B18,18
2b8fOow8UzyDFAE27YhOZM,R1B19,19
1K5KBOgreBi5fkEHvg5ap3,R1B20,20
1xQ6trAsedVPCdbtDAmk0c,R1B21,21
3jjujdWJ72nww5eGnfs2E7,R1B22,22
3H7ihDc1dqLriiWXwsc2po,R1B23,23
3tjFYV6RSFtuktYl3ZtYcq,R1B24,24
3ZCTVFBt2Brf31RLEnCkWJ,R1B25,25
6v3KW9xbzN5yKLt9YKDYA2,R1B26,26
2Fxmhks0bxGSBdJ92vM42m,R1B27,27
4Oun2ylbjFKMPTiaSbbCih,R1B28,28
1Cv1YLb4q0RzL6pybtaMLo,R1B29,29
7FIWs0pqAYbP91WWM0vlTQ,R1B30,30
16wAOAZ2OkqoIDN7TpChjR,R1B31,31
017PF4Q3l4DBUiWoXk4OWT,R1B32,32
0t1kP63rueHleOhQkYSXFY,R1B33,33
3GZoWLVbmxcBys6g0DLFLf,R1B34,34
62aP9fBQKYKxi7PDXwcUAS,R1B35,35
7ju97lgwC2rKQ6wwsf9no9,R1B36,36
3eekarcy7kvN4yt5ZFzltW,R1B37,37
0RiRZpuVRbi7oqRdSMwhQY,R1B38,38
1yoMvmasuxZfqHEipJhRbp,R1B39,39
2tnVG71enUj33Ic2nFN6kZ,R1B40,40
6gBFPUFcJLzWGx4lenP6h2,R1B41,41
4NCsrTzgVfsDo8nWyP8PPc,R1B42,42
39Yp9wwQiSRIDOvrVg7mbk,R1B43,43
2DEZmgHKAvm41k4J3R2E9Y,R1B44,44
0u2P5u6lvoDfwTYjAADbn4,R1B45,45
285pBltuF7vW8TeWk8hdRR,R1B46,46
4HBZA5flZLE435QTztThqH,R1B47,47
2kJwzbxV2ppxnQoYw4GLBZ,R1B48,48
3AzjcOeAmA57TIOr9zF1ZW,R1B49,49
2xLMifQCjDGFmkHkpNLD9h,R1B50,50
